"ID";"IDIOMA";"REFRAN"
373;"FRANCES";"Grand besoin a de fol qui de soi-même le fait."
374;"FRANCES";"Grand bien ne vient pas en peu d’heures."
375;"FRANCES";"Grande chère petit testament."
376;"FRANCES";"Grande dispute vérité rebute."
377;"FRANCES";"Grand parleur grand menteur."
378;"FRANCES";"Grands oiseaux de coutume sont privés de leurs plumes."
379;"FRANCES";"Grand vanteur, petit faiseur."
380;"FRANCES";"Grosse tête, peu de sens."
381;"FRANCES";"Habillé comme un moulin à vent."
382;"FRANCES";"Habille-toi lentement quand tu es pressé."
383;"FRANCES";"Hardiment heurte à la porte qui bonne nouvelle y apporte."
384;"FRANCES";"Hâtez-vous lentement."
385;"FRANCES";"Heureux commencement est la moitié de l’”oe]uvre."
386;"FRANCES";"Heureux sont les enfants dont les pères sont damnés."
387;"FRANCES";"Homme assailli à demi vaincu."
388;"FRANCES";"Homme chiche jamais riche."
389;"FRANCES";"Homme matineux, sain, alègre, et soigneux."
390;"FRANCES";"Homme ne connaît mieux la malice que l’abbé qui a été moine."
391;"FRANCES";"Homme plaideur, menteur."
392;"FRANCES";"Honnête pauvreté est clair semée."
393;"FRANCES";"Honneur fleurit sur la fosse."
394;"FRANCES";"Il a battu les buissons et un autre a pris les oisillons."
395;"FRANCES";"Il a beau se lever matin qui a le renom de dormir la grasse matinée."
396;"FRANCES";"Il a beau se taire de l’escot qui ne paie rien."
397;"FRANCES";"Il advient souvent en un jour ce qui n’advient en cent ans."
398;"FRANCES";"Il a mangé son blé en herbe."
399;"FRANCES";"Il a mis tous ses ”oe]ufs dans un panier."
400;"FRANCES";"Il attend que les alouettes lui tombent toutes rôties dans le bec."
401;"FRANCES";"Il cherche son âne et il est monté dessus."
402;"FRANCES";"Il est avis au renard que chacun mange poules comme lui."
403;"FRANCES";"Il est avis à vieille vache qu’elle ne fût oncques veau."
404;"FRANCES";"Il est bien aisé d’aller à pied quand on tient son cheval par la bride."
405;"FRANCES";"Il est bien fou qui s’oublie."
406;"FRANCES";"Il est bon d’avoir des amis partout."
407;"FRANCES";"Il est comme le chien du jardinier, qui ne mange point de choux, et n’en laisse pas manger aux autres."
408;"FRANCES";"Il est dit habile, qui fraude ami et pile."
409;"FRANCES";"Il est du naturel du chat, il retombe toujours sur ses pieds."
410;"FRANCES";"Il est juste que le prêtre vive de l’autel."
411;"FRANCES";"Il est né coiffé."
412;"FRANCES";"Il est né dimanche, il aime besogne faite."
413;"FRANCES";"Il est plus aisé de se tirer de la rive que du fond."
414;"FRANCES";"Il est tout prêché qui n’a cure de bien faire."
415;"FRANCES";"Il est trop tard de fermer l’écurie quand les chevaux sont pris."
416;"FRANCES";"Il fait bien mauvais au bois quand les loups se mangent l’un l’autre."
417;"FRANCES";"Il fait bon battre l’orgueilleux quand il est seul."
418;"FRANCES";"Il fait toujours bon tenir son cheval par la bride."
419;"FRANCES";"Il faut amadouer la poule pour avoir les poussins."
420;"FRANCES";"Il faut avaler les pilules sans les mâcher."
421;"FRANCES";"Il faut battre le fer tandis qu’il est chaud."
422;"FRANCES";"Il faut bien laisser le jeu quand il est beau."
423;"FRANCES";"Il faut casser la noix pour manger le noyau."
424;"FRANCES";"Il faut être enclume ou marteau."
425;"FRANCES";"Il faut faire ce qu’on fait."
426;"FRANCES";"Il faut gratter les gens par où il leur démange."
427;"FRANCES";"Il faut hurler avec les loups."
428;"FRANCES";"Il faut laisser l’enfant morveux plutôt que lui arracher le nez."
429;"FRANCES";"Il faut laver son linge sale en famille."
430;"FRANCES";"Il faut louer la mer et se tenir en terre."
431;"FRANCES";"Il faut passer par la porte ou par la fenêtre."
432;"FRANCES";"Il faut perdre un véron pour pêcher un saumon."
433;"FRANCES";"Il faut placer le clocher au milieu du village."
434;"FRANCES";"Il faut prendre le bénéfice avec les charges."
435;"FRANCES";"Il faut que tout le monde vive."
436;"FRANCES";"Il faut qu’une porte soit ouverte ou fermée."
437;"FRANCES";"Il faut reculer pour mieux sauter."
438;"FRANCES";"Il faut se défier d’un ennemi réconcilié."
439;"FRANCES";"Il faut se dire beaucoup d’amis et s’en croire peu."
440;"FRANCES";"Il faut tendre voile selon le vent."
441;"FRANCES";"Il faut tondre les brebis et non les écorchier."
442;"FRANCES";"Il faut tourner sept fois sa langue dans sa bouche avant de parler."
443;"FRANCES";"Il faut vouloir ce qu’on ne peut empêcher."
444;"FRANCES";"Il ment comme un arracheur de dents."
445;"FRANCES";"Il met sa faucille dans la moisson d’autrui."
446;"FRANCES";"Il n’a rien oublié, sinon de dire adieu."
447;"FRANCES";"Il ne choisit pas qui emprunte."
448;"FRANCES";"Il ne faut jamais défier un fou de mal faire."
449;"FRANCES";"Il ne faut pas badiner avec le feu."
450;"FRANCES";"Il ne faut pas chômer les fêtes avant qu’elles ne soient venues."
451;"FRANCES";"Il ne faut pas clocher devant les boiteux."
452;"FRANCES";"Il ne faut pas dire: Fontaine, je ne boirai pas de ton eau."
453;"FRANCES";"Il ne faut pas enseigner les poissons à nager."
454;"FRANCES";"Il ne faut pas faire d’un diable deux."
455;"FRANCES";"Il ne faut pas faire passer tous les chats pour des sorciers."
456;"FRANCES";"Il ne faut pas jeter des pierres dans le jardin de ton voisin."
457;"FRANCES";"Il ne faut pas laisser de semer pour crainte des pigeons."
458;"FRANCES";"Il ne faut pas lier les ânes avec les chevaux."
459;"FRANCES";"Il ne faut pas mettre le doigt entre l’arbre et l’écorce."
460;"FRANCES";"Il ne faut pas parler latin devant les cordeliers."
461;"FRANCES";"Il ne faut pas se moquer des chiens qu’on ne soit hors du village."
462;"FRANCES";"Il ne faut pas s’en rapporter à l’étiquette du sac."
463;"FRANCES";"Il ne faut pas vendre la peau de l’ours avant de l’avoir mis par terre."
464;"FRANCES";"Il ne faut point parler de corde dans la maison d’un pendu."
465;"FRANCES";"Il ne faut point se dépouiller avant de se coucher."
466;"FRANCES";"Il ne faut que tourner le dos à Dieu pour devenir riche."
467;"FRANCES";"Il ne faut qu’une brebis galeuse pour gâter tout le troupeau."
468;"FRANCES";"Il ne faut rien dérober que la bourse d’un avocat."
469;"FRANCES";"Il ne perdra pas l’avoine faute de brailler."
470;"FRANCES";"Il ne se garde pas bien qui ne se garde toujours."
471;"FRANCES";"Il n’est banquet que d’homme chiche."
472;"FRANCES";"Il n’est chasse que de vieux chiens."
473;"FRANCES";"Il n’est cheval qui n’ait sa tare."
474;"FRANCES";"Il n’est orgueil que de pauvre enrichi."
475;"FRANCES";"Il n’est pas échappé qui traîne son lien."
476;"FRANCES";"Il n’est pas si diable qu’il est noir."
477;"FRANCES";"Il n’est pire eau que l’eau qui dort."
478;"FRANCES";"Il n’est pire sourd que celui qui ne veut pas entendre."
